"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 12:48:13 EDT 2024","Sat Jun 29 12:48:13 EDT 2024","1","tests","test_order_form","TestOrderForm","","","test_setup",""
"passed","Sat Jun 29 12:48:21 EDT 2024","Sat Jun 29 12:48:26 EDT 2024","4431","tests","test_order_form","TestOrderForm","","","test_fill_order_form_with_new_data[\u0421\u0435\u0440\u0433\u0435\u0439-\u0421\u0435\u0440\u0433\u0435\u0435\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u041b\u0435\u0441\u043d\u0430\u044f, \u0434. 10-\u0410\u0440\u0431\u0430\u0442\u0441\u043a\u0430\u044f-+79996543210-\u0447\u0435\u0442\u0432\u0435\u0440\u043e \u0441\u0443\u0442\u043e\u043a-\u0417\u0432\u043e\u043d\u0438\u0442\u044c \u0432\u0435\u0447\u0435\u0440\u043e\u043c-grey]",""
"passed","Sat Jun 29 12:50:49 EDT 2024","Sat Jun 29 12:50:49 EDT 2024","334","tests","test_questions","TestFAQ","","","test_question8",""
"passed","Sat Jun 29 12:48:59 EDT 2024","Sat Jun 29 12:48:59 EDT 2024","336","tests","test_questions","TestFAQ","","","test_question2",""
"passed","Sat Jun 29 12:51:09 EDT 2024","Sat Jun 29 12:51:16 EDT 2024","6963","tests","test_redirect_yandex_logo","TestYandexLogoNavigation","","","test_click_yandex_logo",""
"passed","Sat Jun 29 12:47:54 EDT 2024","Sat Jun 29 12:47:57 EDT 2024","2554","tests","test_click_scooter_logo","TestClickAlternateOrderButton","","","test_click_alternate_order_button",""
"passed","Sat Jun 29 12:49:35 EDT 2024","Sat Jun 29 12:49:35 EDT 2024","330","tests","test_questions","TestFAQ","","","test_question4",""
"passed","Sat Jun 29 12:48:17 EDT 2024","Sat Jun 29 12:48:21 EDT 2024","4510","tests","test_order_form","TestOrderForm","","","test_fill_order_form_with_new_data[\u041f\u0435\u0442\u0440-\u041f\u0435\u0442\u0440\u043e\u0432-\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, \u0434. \u0414\u043e\u043c-\u041a\u043e\u043c\u0441\u043e\u043c\u043e\u043b\u044c\u0441\u043a\u0430\u044f-+79997654321-\u0442\u0440\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0417\u0432\u043e\u043d\u0438\u0442\u044c \u0437\u0430\u0440\u0430\u043d\u0435\u0435-black]",""
"passed","Sat Jun 29 12:50:31 EDT 2024","Sat Jun 29 12:50:31 EDT 2024","341","tests","test_questions","TestFAQ","","","test_question7",""
"passed","Sat Jun 29 12:49:54 EDT 2024","Sat Jun 29 12:49:54 EDT 2024","359","tests","test_questions","TestFAQ","","","test_question5",""
"passed","Sat Jun 29 12:48:40 EDT 2024","Sat Jun 29 12:48:41 EDT 2024","352","tests","test_questions","TestFAQ","","","test_question1",""
"passed","Sat Jun 29 12:50:12 EDT 2024","Sat Jun 29 12:50:13 EDT 2024","324","tests","test_questions","TestFAQ","","","test_question6",""
"passed","Sat Jun 29 12:47:36 EDT 2024","Sat Jun 29 12:47:38 EDT 2024","2389","tests","test_alternative order button","TestClickAlternateOrderButton","","","test_click_alternate_order_button",""
"passed","Sat Jun 29 12:49:17 EDT 2024","Sat Jun 29 12:49:17 EDT 2024","354","tests","test_questions","TestFAQ","","","test_question3",""
"passed","Sat Jun 29 12:48:13 EDT 2024","Sat Jun 29 12:48:17 EDT 2024","4190","tests","test_order_form","TestOrderForm","","","test_fill_order_form",""
